neuronios,taxa_aprendizado,normalizado,acuracia_holdout,acuracia_cv_media,acuracia_cv_desvio,tempo_treino,iteracoes
5,0.05,sim,0.970760,0.941997,0.025196,0.016188,33
15,0.01,sim,0.970760,0.961372,0.016229,0.019539,35
15,0.05,sim,0.964912,0.961388,0.021176,0.022025,41
20,0.05,sim,0.959064,0.968390,0.008897,0.019128,33
10,0.01,sim,0.947368,0.968390,0.023908,0.017041,33
10,0.05,sim,0.947368,0.971914,0.012869,0.014897,28
5,0.01,sim,0.918129,0.954308,0.011627,0.018823,34
15,0.001,sim,0.918129,0.913911,0.039726,0.025000,40
15,0.01,nao,0.918129,0.905123,0.027325,0.035543,71
20,0.001,sim,0.912281,0.940289,0.030031,0.055344,100
20,0.01,nao,0.912281,0.887657,0.112211,0.039198,73
20,0.01,sim,0.906433,0.964835,0.005671,0.021034,33
5,0.05,nao,0.900585,0.891088,0.025623,0.023753,51
20,0.05,nao,0.900585,0.899938,0.057210,0.027049,41
5,0.01,nao,0.894737,0.880578,0.026143,0.025781,54
10,0.05,nao,0.894737,0.880515,0.008656,0.020698,41
5,0.001,sim,0.883041,0.913864,0.030143,0.042785,92
5,0.001,nao,0.871345,0.887549,0.009969,0.032032,62
10,0.01,nao,0.871345,0.880531,0.016032,0.033378,67
15,0.05,nao,0.871345,0.892812,0.026772,0.027142,55
10,0.001,sim,0.836257,0.920897,0.029923,0.025203,48
20,0.001,nao,0.807018,0.852414,0.041907,0.053939,100
15,0.001,nao,0.625731,0.751980,0.106943,0.015191,27
10,0.001,nao,0.619883,0.620370,0.007385,0.014580,27
